"loop_counter","in_height","in_speed","out_speed","Mover"
0,100.0,0.0,0.0,""
1,99.99500004166653,0.049999166670833324,0.049999166670833324,""
2,99.98000066665777,0.1499925001374987,0.1499925001374987,""
3,99.95500337489875,0.299970001149977,0.299970001149977,""
4,99.9200106660978,0.4999166720831479,0.4999166720831479,""
5,99.87502603949663,0.7498125184365396,0.7498125184365396,""
6,99.82005399352042,1.0496325508337625,1.0496325508337625,""
7,99.75510002532796,1.3993467875214265,1.3993467875214265,""
8,99.68017063026194,1.7989202573672898,1.7989202573672898,""
9,99.59527330119943,2.248313003357345,2.248313003357345,""
10,99.50041652780259,2.747480086591486,2.747480086591486,""
11,99.39560979566969,3.2963715907773596,3.2963715907773596,""
12,99.28086358538663,3.8949326272219564,3.8949326272219564,""
13,99.1561893714788,4.543103340320431,4.543103340320431,""
14,99.02159962126372,5.240818913541614,5.240818913541614,""
15,98.87710779360422,5.98800957590961,5.98800957590961,""
16,98.7227283375627,6.78460060898084,6.78460060898084,""
17,98.55847669095607,7.630512354315821,7.630512354315821,""
18,98.38436927881214,8.52566022144494,8.52566022144494,""
19,98.20042351172702,9.469954696327445,9.469954696327445,""
20,98.00665778412416,10.46330135030275,10.46330135030275,""
21,97.80309147241482,11.455601682862413,11.455601682862413,""
22,97.58974493306056,12.446756464800096,12.446756464800096,""
23,97.36663950053749,13.43666658146356,13.43666658146356,""
24,97.13379748520296,14.425233042666061,14.425233042666061,""
25,96.89124217106448,15.412356992585284,15.412356992585284,""
26,96.63899781345133,16.397939719648836,16.397939719648836,""
27,96.37708963658905,17.38188266640533,17.38188266640533,""
28,96.10554383107709,18.364087439380036,18.364087439380036,""
29,95.82438755126972,19.344455818914152,19.344455818914152,""
30,95.5336489125606,20.32288976898671,20.32288976898671,""
31,95.23335698857134,21.299291447018057,21.299291447018057,""
32,94.92354180824408,22.27356321365405,22.27356321365405,""
33,94.6042343528387,23.24560764252992,23.24560764252992,""
34,94.27546655283462,24.215327530012807,24.215327530012807,""
35,93.93727128473789,25.18262590492207,25.18262590492207,""
36,93.58968236779349,26.14740603822629,26.14740603822629,""
37,93.23273456060345,27.109571452716118,27.109571452716118,""
38,92.86646355765103,28.069025932651908,28.069025932651908,""
39,92.4909059857313,29.02567353338522,29.02567353338522,""
40,92.10609940028851,29.979418590953163,29.979418590953163,""
41,91.71208228166051,30.93016573164478,30.93016573164478,""
42,91.30889403123082,31.877819881538283,31.877819881538283,""
43,90.8965749674885,32.8222862760084,32.8222862760084,""
44,90.47516632199634,33.76347046920272,33.76347046920272,""
45,90.04471023526769,34.70127834348626,34.70127834348626,""
46,89.60524975255252,35.63561611885308,35.63561611885308,""
47,89.15682881953289,36.56639036230426,36.56639036230426,""
48,88.69949227792841,37.49350799719112,37.49350799719112,""
49,88.23328586101215,38.416876312522724,38.416876312522724,""
50,87.75825618903727,39.336402972237046,39.336402972237046,""
51,87.27445076457514,40.251996024434355,40.251996024434355,""
52,86.78191796776498,41.16356391057245,41.16356391057245,""
53,86.2807070514761,42.07101547462234,42.07101547462234,""
54,85.77086813638242,42.97425997218384,42.97425997218384,""
55,85.25245220595056,43.87320707955988,43.87320707955988,""
56,84.72551110134161,44.76776690278884,44.76776690278884,""
57,84.19009751622688,45.65784998663388,45.65784998663388,""
58,83.64626499151869,46.54336732352833,46.54336732352833,""
59,83.09406791001635,47.42423036247644,47.42423036247644,""
60,82.53356149096783,48.300351017908376,48.300351017908376,""
61,81.96480178454794,49.17164167848866,49.17164167848866,""
62,81.38784566625338,50.03801521587734,50.03801521587734,""
63,80.80275083121519,50.89938499344263,50.89938499344263,""
64,80.20957578842926,51.75566487492459,51.75566487492459,""
65,79.60837985490559,52.60676923304864,52.60676923304864,""
66,78.99922314973651,53.45261295808821,53.45261295808821,""
67,78.38216658808493,54.29311146637567,54.29311146637567,""
68,77.7572718750928,55.1281807087606,55.1281807087606,""
69,77.12460149971066,55.95773717901464,55.95773717901464,""
70,76.48421872844885,56.78169792218209,56.78169792218209,""
71,75.83618759905082,57.59998054287522,57.59998054287522,""
72,75.18057291408951,58.4125032135139,58.4125032135139,""
73,74.51744023448704,59.21918468250816,59.21918468250816,""
74,73.8468558729588,60.019944282383335,60.019944282383335,""
75,73.16888688738209,60.8147019378467,60.8147019378467,""
76,72.48360107409052,61.60337817379504,61.60337817379504,""
77,71.79106696109433,62.385894123261984,62.385894123261984,""
78,71.09135380122773,63.162171535304665,63.162171535304665,""
79,70.38453156522361,63.93213278282877,63.93213278282877,""
80,69.67067093471654,64.6957008703512,64.6957008703512,""
81,68.9498432951747,65.45279944169951,65.45279944169951,""
82,68.22212072876135,66.20335278764747,66.20335278764747,""
83,67.48757600712672,66.94728585348592,66.94728585348592,""
84,66.74628258413081,67.68452424652826,67.68452424652826,""
85,65.99831458849822,68.41499424354951,68.41499424354951,""
86,65.24374681640519,69.13862279815875,69.13862279815875,""
87,64.48265472400013,69.85533754810349,69.85533754810349,""
88,63.71511441985802,70.565066822506,70.565066822506,""
89,62.941202657369686,71.26773964903028,71.26773964903028,""
90,62.16099682706644,71.96328576097925,71.96328576097925,""
91,61.374574948881154,72.65163560432131,72.65163560432131,""
92,60.58201566434628,73.33272034464578,73.33272034464578,""
93,59.78339822872982,74.00647187404618,74.00647187404618,""
94,58.978802503109826,74.672822817931,74.672822817931,""
95,58.16830894638836,75.3317065417612,75.3317065417612,""
96,57.35199860724567,75.98305715771345,75.98305715771345,""
97,56.529953116035436,76.62680953126889,76.62680953126889,""
98,55.702254676621735,77.2628992877267,77.2628992877267,""
99,54.868986058158754,77.89126281864127,77.89126281864127,""
100,54.03023058681398,78.51183728818314,78.51183728818314,""
101,53.186072137435545,79.12456063942251,79.12456063942251,""
102,52.336595125164955,79.72937160053485,79.72937160053485,""
103,51.481884496995534,80.32620969092805,80.32620969092805,""
104,50.622025723277844,80.91501522729047,80.91501522729047,""
105,49.75710478917269,81.49572932955908,81.49572932955908,""
106,48.88720818605275,82.06829392680763,82.06829392680763,""
107,48.01242290285341,82.63265176305349,82.63265176305349,""
108,47.132836417373994,83.18874640298337,83.18874640298337,""
109,46.24853668753008,83.73652223759669,83.73652223759669,""
110,45.35961214255773,84.27592448976644,84.27592448976644,""
